Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,2,1,1,Female,Sales Executive,4,Single,5993,Y,11,3,1,80,8,1,6,0,5
49,No,Travel_Frequently,Research & Development,8,1,1,2,Male,Research Scientist,2,Married,5130,Y,23,4,4,80,10,3,10,1,7
37,Yes,Travel_Rarely,Research & Development,2,2,1,4,Male,Laboratory Technician,3,Single,2090,Y,15,3,2,80,7,3,0,0,0
33,No,Travel_Frequently,Research & Development,3,4,1,5,Female,Research Scientist,3,Married,2909,Y,11,3,3,80,8,3,8,3,0
27,No,Travel_Rarely,Research & Development,2,1,1,7,Male,Laboratory Technician,2,Married,3468,Y,12,3,4,80,6,3,2,2,2
32,No,Travel_Frequently,Research & Development,2,2,1,8,Male,Laboratory Technician,4,Single,3068,Y,13,3,3,80,8,2,7,3,6
59,No,Travel_Rarely,Research & Development,3,3,1,10,Female,Laboratory Technician,1,Married,2670,Y,20,4,1,80,12,2,1,0,0
30,No,Travel_Rarely,Research & Development,24,1,1,11,Male,Laboratory Technician,3,Divorced,2693,Y,22,4,2,80,1,3,1,0,0
38,No,Travel_Frequently,Research & Development,23,3,1,12,Male,Manufacturing Director,3,Single,9526,Y,21,4,2,80,10,3,9,1,8
36,No,Travel_Rarely,Research & Development,27,3,1,13,Male,Healthcare Representative,3,Married,5237,Y,13,3,2,80,17,2,7,7,7
35,No,Travel_Rarely,Research & Development,16,3,1,14,Male,Laboratory Technician,2,Married,2426,Y,13,3,3,80,6,3,5,0,3
29,No,Travel_Rarely,Research & Development,15,2,1,15,Female,Laboratory Technician,3,Single,4193,Y,12,3,4,80,10,3,9,0,8
31,No,Travel_Rarely,Research & Development,26,1,1,16,Male,Research Scientist,3,Divorced,2911,Y,17,3,4,80,5,2,5,4,3
34,No,Travel_Rarely,Research & Development,19,2,1,18,Male,Laboratory Technician,4,Divorced,2661,Y,11,3,3,80,3,3,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,3,1,19,Male,Laboratory Technician,3,Single,2028,Y,14,3,2,80,6,3,4,0,3
29,No,Travel_Rarely,Research & Development,21,4,1,20,Female,Manufacturing Director,1,Divorced,9980,Y,11,3,3,80,10,3,10,8,8
32,No,Travel_Rarely,Research & Development,5,2,1,21,Male,Research Scientist,2,Divorced,3298,Y,12,3,4,80,7,2,6,0,5
22,No,Non-Travel,Research & Development,16,2,1,22,Male,Laboratory Technician,4,Divorced,2935,Y,13,3,2,80,1,2,1,0,0
53,No,Travel_Rarely,Sales,2,4,1,23,Female,Manager,4,Married,15427,Y,16,3,3,80,31,3,25,3,7
38,No,Travel_Rarely,Research & Development,2,3,1,24,Male,Research Scientist,4,Single,3944,Y,11,3,3,80,6,3,3,1,2
24,No,Non-Travel,Research & Development,11,2,1,26,Female,Manufacturing Director,3,Divorced,4011,Y,18,3,4,80,5,2,4,1,3
36,Yes,Travel_Rarely,Sales,9,4,1,27,Male,Sales Representative,1,Single,3407,Y,23,4,2,80,10,3,5,0,3
34,No,Travel_Rarely,Research & Development,7,4,1,28,Female,Research Director,2,Single,11994,Y,11,3,3,80,13,3,12,2,11
21,No,Travel_Rarely,Research & Development,15,2,1,30,Male,Research Scientist,4,Single,1232,Y,14,3,4,80,0,3,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,1,1,31,Male,Research Scientist,1,Single,2960,Y,11,3,3,80,8,3,4,1,3
53,No,Travel_Rarely,Research & Development,5,3,1,32,Female,Manager,3,Divorced,19094,Y,11,3,4,80,26,2,14,4,8
32,Yes,Travel_Frequently,Research & Development,16,1,1,33,Female,Research Scientist,1,Single,3919,Y,22,4,2,80,10,3,10,6,7
42,No,Travel_Rarely,Sales,8,4,1,35,Male,Sales Executive,2,Married,6825,Y,11,3,4,80,10,3,9,4,2
44,No,Travel_Rarely,Research & Development,7,4,1,36,Female,Healthcare Representative,4,Married,10248,Y,14,3,4,80,24,3,22,5,17
46,No,Travel_Rarely,Sales,2,4,1,38,Female,Manager,1,Single,18947,Y,12,3,4,80,22,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,3,1,39,Male,Laboratory Technician,4,Single,2496,Y,11,3,4,80,7,3,1,0,0
44,No,Travel_Rarely,Research & Development,10,4,1,40,Male,Healthcare Representative,4,Married,6465,Y,13,3,4,80,9,4,4,1,3
30,No,Travel_Rarely,Research & Development,9,2,1,41,Male,Laboratory Technician,3,Single,2206,Y,13,3,1,80,10,3,10,1,8
39,Yes,Travel_Rarely,Sales,5,3,1,42,Male,Sales Representative,4,Married,2086,Y,14,3,3,80,19,4,1,0,0
24,Yes,Travel_Rarely,Research & Development,1,3,1,45,Male,Research Scientist,4,Married,2293,Y,16,3,1,80,6,2,2,2,0
43,No,Travel_Rarely,Research & Development,2,2,1,46,Female,Research Scientist,3,Divorced,2645,Y,12,3,4,80,6,2,5,1,4
50,Yes,Travel_Rarely,Sales,3,2,1,47,Male,Sales Representative,3,Married,2683,Y,14,3,3,80,3,3,3,0,2
35,No,Travel_Rarely,Sales,2,3,1,49,Female,Sales Representative,4,Married,2014,Y,13,3,1,80,2,3,2,2,2
36,No,Travel_Rarely,Research & Development,5,4,1,51,Female,Research Scientist,1,Married,3419,Y,14,3,4,80,6,4,1,0,0
33,No,Travel_Frequently,Sales,1,3,1,52,Female,Sales Executive,1,Married,5376,Y,19,3,1,80,10,3,5,1,3
35,No,Travel_Rarely,Research & Development,4,2,1,53,Male,Laboratory Technician,4,Divorced,1951,Y,12,3,3,80,1,3,1,0,0
27,No,Travel_Rarely,Research & Development,2,4,1,54,Female,Laboratory Technician,1,Divorced,2341,Y,13,3,4,80,1,3,1,0,0
26,Yes,Travel_Rarely,Research & Development,25,3,1,55,Male,Laboratory Technician,3,Single,2293,Y,12,3,3,80,1,2,1,0,1
27,No,Travel_Frequently,Sales,8,3,1,56,Male,Sales Executive,3,Single,8726,Y,15,3,4,80,9,3,9,1,7
30,No,Travel_Frequently,Research & Development,1,2,1,57,Female,Laboratory Technician,4,Single,4011,Y,23,4,4,80,12,3,12,3,7
41,Yes,Travel_Rarely,Research & Development,12,3,1,58,Female,Research Director,3,Married,19545,Y,12,3,4,80,23,3,22,15,8
34,No,Non-Travel,Sales,23,4,1,60,Male,Sales Executive,3,Single,4568,Y,20,4,3,80,10,3,9,8,7
37,No,Travel_Rarely,Research & Development,19,2,1,61,Male,Research Scientist,2,Married,3022,Y,21,4,1,80,8,3,1,0,0
46,No,Travel_Frequently,Sales,5,4,1,62,Male,Sales Executive,4,Single,5772,Y,21,4,3,80,14,3,9,0,8
35,No,Travel_Rarely,Research & Development,8,1,1,63,Male,Laboratory Technician,4,Married,2269,Y,19,3,4,80,1,3,1,0,1
48,Yes,Travel_Rarely,Research & Development,1,2,1,64,Male,Laboratory Technician,3,Single,5381,Y,13,3,4,80,23,3,1,0,0
28,Yes,Travel_Rarely,Research & Development,5,4,1,65,Male,Laboratory Technician,3,Single,3441,Y,13,3,3,80,2,2,2,2,2
